target,planet,visit,det,bin,wave_lo_um,wave_hi_um,n_fits,sigma_cal_ppm,sigma_resid_ppm,bias_slope,dd_obs_ppm,cal_vs_boot,ul95_abs_dd_ppm
LHS-1140,LHS 1140 b,jw07073026001,nrs1,7,4.893788818646616,5.185942876009393,40,212.26531428279355,154.66345391095663,0.9438262644375786,-40.97418609117897,1.2955014987768616,390.15062808637435
LHS-1140,LHS 1140 c,jw07073032001,nrs1,0,2.849000433930459,3.140699536999328,40,109.35691434101653,114.70053631141784,1.0019220094053074,-67.33130105207509,0.9432391254703791,247.22342514304728
LHS-1140,LHS 1140 c,jw07073032001,nrs1,1,3.140699536999328,3.432398640068196,40,99.48176675779784,97.17638474030964,1.1952898285337106,-98.5122857027898,0.9131733739780243,262.1597920193673
LHS-1140,LHS 1140 c,jw07073032001,nrs1,2,3.432398640068196,3.724097743137064,40,49.91324278711506,54.81065472379279,1.0800814776857368,-8.403881098214498,0.9859752300028659,90.51116548301877
LHS-1140,LHS 1140 c,jw07073032001,nrs1,3,3.724097743137064,4.015796846205933,40,40.423246512822594,33.864147629119536,1.1054747415629016,-64.21043878323748,1.3394339833388496,130.70667929683066
LHS-1140,LHS 1140 c,jw07073032001,nrs1,4,4.015796846205933,4.307495949274801,40,90.72028245826783,80.79917100425146,1.094392455980746,31.23854507307072,1.0951230506748324,180.4734097169213
LHS-1140,LHS 1140 c,jw07073032001,nrs1,5,4.307495949274801,4.59919505234367,40,104.5222480209641,108.21346466657842,1.0905682119307065,-41.99492127206607,0.8991492476897224,213.934019266552
LHS-1140,LHS 1140 c,jw07073032001,nrs1,6,4.59919505234367,4.890894155412538,40,175.51033569139238,154.21858926696748,1.1809717031700036,-39.88914412625432,1.0317558303148393,328.6036463385948
LHS-1140,LHS 1140 c,jw07073032001,nrs1,7,4.890894155412538,5.182593258481407,40,240.63541309139464,223.0044215607943,1.044638013558708,-126.90499390718156,1.231486236739991,522.7502484425257
LHS-1140,LHS 1140 c,jw07073033001,nrs1,0,2.8489613947171466,3.141067851075136,40,165.45685546156392,174.14684007205514,0.9616408267656918,-136.19947630919222,0.9821291796392404,408.3760035434649
LHS-1140,LHS 1140 c,jw07073033001,nrs1,1,3.141067851075136,3.4331743074331245,40,98.47050886358248,91.46539755854758,0.8780107307215628,-22.28066294368601,0.9986317225674757,184.2646500242792
LHS-1140,LHS 1140 c,jw07073033001,nrs1,2,3.4331743074331245,3.725280763791113,40,68.31035764959609,63.90394595441992,0.8783138112678767,-85.10374628344476,0.9163377875154861,197.47428461703032
LHS-1140,LHS 1140 c,jw07073033001,nrs1,3,3.725280763791113,4.017387220149102,40,47.382350715365554,46.03791552214433,1.0345670106200422,-35.75307738215095,0.9585713255826367,113.69704430892729
LHS-1140,LHS 1140 c,jw07073033001,nrs1,4,4.017387220149102,4.309493676507091,40,67.27088065902905,88.46232417321008,1.038287955057183,-40.02573988667532,0.6948580742131671,150.6863385707781
LHS-1140,LHS 1140 c,jw07073033001,nrs1,5,4.309493676507091,4.60160013286508,40,139.20671350329417,134.09814562517093,0.9750403111813386,-8.915026835616592,1.148849333508465,237.91007054853551
LHS-1140,LHS 1140 c,jw07073033001,nrs1,6,4.60160013286508,4.8937065892230684,40,200.44772704880933,200.52495702112728,0.8575413709503438,119.97716098964769,2.6062214284066854,449.713671984939
LHS-1140,LHS 1140 c,jw07073033001,nrs1,7,4.8937065892230684,5.185813045581058,40,147.83058460628104,203.75190576614784,1.0497496625910068,-34.93139160128849,1.4963251132811302,278.1127032786208
TOI-1685,TOI-1685 b,jw03263001001,nrs1,0,2.8619297421425656,2.9692651864042228,40,83.83524429894108,93.26898306929633,0.9266527038419039,109.11674030406624,1.0682823755453568,247.02571717582433
TOI-1685,TOI-1685 b,jw03263001001,nrs1,1,2.9692651864042228,3.0766006306658804,40,78.95005033202115,66.57109533829075,1.0140152583228403,47.59767530433819,1.0089813607496898,177.470508100513
TOI-1685,TOI-1685 b,jw03263001001,nrs1,2,3.0766006306658804,3.1839360749275376,40,71.81401339205257,84.48065591044774,1.0298824400746205,33.68057505424838,0.78032506343563,151.81462708417484
TOI-1685,TOI-1685 b,jw03263001001,nrs1,3,3.1839360749275376,3.291271519189195,40,76.62946457277451,98.19810772588738,0.8199451071701049,-17.99690471207668,1.1469756108663165,144.05237393429076
TOI-1685,TOI-1685 b,jw03263001001,nrs1,4,3.291271519189195,3.3986069634508524,40,76.52127438144373,75.50160357715797,1.0430856670740458,35.301171835528834,1.1557989842232272,161.17866819300377
TOI-1685,TOI-1685 b,jw03263001001,nrs1,5,3.3986069634508524,3.5059424077125096,40,54.31687638745413,69.64460765907552,1.065042319346819,17.910399542289767,0.854918386799628,107.26166119965181
TOI-1685,TOI-1685 b,jw03263001001,nrs1,6,3.5059424077125096,3.613277851974167,40,63.8646191622268,73.60354294820127,1.0301074132017596,29.715084428927643,1.091155985022043,134.77238295079073
TOI-1685,TOI-1685 b,jw03263001001,nrs1,7,3.613277851974167,3.720613296235825,40,74.92782731311515,72.66721751110627,1.120176387928665,3.000418294903453,0.9240746127517622,126.25669422497786
TOI-1685,TOI-1685 b,jw03263001001,nrs2,0,3.819562640797222,3.9892852956206752,40,57.32731581388809,55.15560245165729,0.9756303060908645,-67.26884765803598,0.9414375154569286,161.5722821718819
TOI-1685,TOI-1685 b,jw03263001001,nrs2,1,3.9892852956206752,4.159007950444128,40,67.96395125650616,60.7860597113141,1.0346517797634596,-21.76157548529356,1.0840641411697678,133.5622753022462
TOI-1685,TOI-1685 b,jw03263001001,nrs2,2,4.159007950444128,4.328730605267581,40,45.460496837026284,52.40803647372717,1.0359051116580842,-25.1498691849634,0.7080861194763076,99.93238648187165
TOI-1685,TOI-1685 b,jw03263001001,nrs2,3,4.328730605267581,4.4984532600910345,40,105.01511810328454,86.12828589730442,0.950671440696038,22.073572607007005,1.0687544708357792,194.82344188691008
TOI-1685,TOI-1685 b,jw03263001001,nrs2,4,4.4984532600910345,4.668175914914488,40,85.4968396568555,84.73551337766816,0.8500533492647042,-19.071436296842467,0.8897859652140848,159.71373753236978
TOI-1685,TOI-1685 b,jw03263001001,nrs2,5,4.668175914914488,4.837898569737941,40,267.21750261514245,230.6394825767236,1.0265440483194446,-79.56430449780345,1.1206133611189302,519.1370962997128
