target,visit,det,bin,wave_lo_um,wave_hi_um,n_cols,n_ok,oot_scatter_ppm
K2-18,jw02372007001,nrs1,3,3.1840105355990067,3.2913453104175012,159,2089,687.0505037672249
K2-18,jw02372007001,nrs1,4,3.2913453104175012,3.3986800852359957,159,2089,683.8575317796043
K2-18,jw02372007001,nrs1,5,3.3986800852359957,3.5060148600544903,159,2089,653.6465436933247
K2-18,jw02372007001,nrs1,6,3.5060148600544903,3.6133496348729848,159,2089,630.740525610218
K2-18,jw02372007001,nrs1,7,3.6133496348729848,3.7206844096914793,160,2089,570.2202829966717
K2-18,jw02372007001,nrs2,0,3.8196330262994906,3.989354526768324,254,2089,648.3385767309363
K2-18,jw02372007001,nrs2,1,3.989354526768324,4.159076027237157,253,2089,822.4057488469142
K2-18,jw02372007001,nrs2,2,4.159076027237157,4.328797527705991,255,2089,983.691644726368
K2-18,jw02372007001,nrs2,3,4.328797527705991,4.498519028174824,255,2089,1209.2748742013578
K2-18,jw02372007001,nrs2,4,4.498519028174824,4.668240528643658,256,2089,1321.2590334360548
K2-18,jw02372007001,nrs2,5,4.668240528643658,4.837962029112491,257,2089,1880.7515472613768
K2-18,jw02372007001,nrs2,6,4.837962029112491,5.007683529581324,258,2089,878600.2142774524
K2-18,jw02372007001,nrs2,7,5.007683529581324,5.177405030050157,260,2089,6887.1041431017975
LHS-1140,jw07073024001,nrs1,0,2.84824423036032,3.140621419575656,163,2496,636.1478831067546
LHS-1140,jw07073024001,nrs1,1,3.140621419575656,3.432998608790992,162,2496,645.5824954958972
LHS-1140,jw07073024001,nrs1,2,3.432998608790992,3.7253757980063282,163,2496,668.5570293593754
LHS-1140,jw07073024001,nrs1,3,3.7253757980063282,4.017752987221664,163,2496,740.5046867269803
LHS-1140,jw07073024001,nrs1,4,4.017752987221664,4.310130176437,162,2496,855.2273751033031
LHS-1140,jw07073024001,nrs1,5,4.310130176437,4.602507365652336,163,2496,1147.5135674390885
LHS-1140,jw07073024001,nrs1,6,4.602507365652336,4.894884554867672,163,2496,1336.171619369773
LHS-1140,jw07073024001,nrs1,7,4.894884554867672,5.187261744083008,163,2496,1529.2246158785977
LHS-1140,jw07073025001,nrs1,0,2.849107320303722,3.1409822853726634,163,2496,664.3368700161307
LHS-1140,jw07073025001,nrs1,1,3.1409822853726634,3.432857250441605,162,2496,667.4714474611217
LHS-1140,jw07073025001,nrs1,2,3.432857250441605,3.7247322155105467,162,2496,687.8214867123829
LHS-1140,jw07073025001,nrs1,3,3.7247322155105467,4.016607180579489,163,2496,733.2606227752816
LHS-1140,jw07073025001,nrs1,4,4.016607180579489,4.30848214564843,162,2496,875.8468495793524
LHS-1140,jw07073025001,nrs1,5,4.30848214564843,4.600357110717372,162,2496,1102.013522190319
LHS-1140,jw07073025001,nrs1,6,4.600357110717372,4.892232075786314,163,2496,1277.9109926710873
LHS-1140,jw07073025001,nrs1,7,4.892232075786314,5.184107040855255,163,2496,1499.4789609728628
LHS-1140,jw07073026001,nrs1,0,2.8487104171071738,3.140864474469951,163,2496,646.5614260689
LHS-1140,jw07073026001,nrs1,1,3.140864474469951,3.4330185318327286,162,2496,609.1849797279566
LHS-1140,jw07073026001,nrs1,2,3.4330185318327286,3.725172589195506,163,2496,662.519539473493
